준비운동,본운동,마무리운동
무릎 올려 공 닿기,물고기 자세,앉아서 다리 펴서 들어올리기
무릎-허리 높이로 공 튀기기,물누르기/올리기,앉아서 덤벨로 손목 굽히기
무릎굽혀 원 그리기,물당기기/밀기,앉아서 밀기
무릎당겨 다리 올리기,물병 들고 한발 앞으로 내밀고 앉았다 일어서기,앉아서 상체 앞 옆으로 기울기
물고기 자세,물병 옆으로 들어올리기,앉아서 엉덩관절 굽히기
물누르기/올리기,물속에서 걷기,앉아서 옆구리 늘려주기
물당기기/밀기,물통으로 양팔 들어올리기,앉아서 한 발 앞으로 굽히기
물병 들고 한발 앞으로 내밀고 앉았다 일어서기,바로서서 상체 숙이기,앉았다 일어서기
물병 옆으로 들어올리기,바벨 끌어당기기,앉았다 일어서며 팔 들어올리기
물속에서 걷기,바벨 당겨 올리기,앉았다 일어서면서 점프하기
물통으로 양팔 들어올리기,바벨 들어 팔꿈치 굽히기,앉은 산 자세
바로서서 상체 숙이기,바벨 잡고 들어올리기,앞굽이 뛰기
바벨 끌어당기기,바벨들어올리기,앞굽이 앉았다 일어서기
바벨 당겨 올리기,바운딩 운동  루틴프로그램,앞뒤로 한발씩 걷기
바벨 들어 팔꿈치 굽히기,박스 옆으로 번갈아 뛰기,앞발 의자 올려 굽히기
바벨 잡고 들어올리기,박스 오르내리기,앞차기하며 뛰기
바벨들어올리기,박스 운동  루틴프로그램,양 손 번갈아 공 튀기기
바운딩 운동  루틴프로그램,반달자세,양발 교차 올리기
박스 옆으로 번갈아 뛰기,반복 옆뛰기,양발 교차하여 서서 몸통 숙이기
박스 오르내리기,발 끝 당기기,양발 나란히 서기
박스 운동  루틴프로그램,발 닿기,양발 모아 좌우 뛰기
반달자세,발 뒤꿈치 들어올리기,양발 모았다 벌려뛰기
반복 옆뛰기,발 바꿔 뛰기,양발 벌려 무릎 밀어내기
발 끝 당기기,발가락 폄근 스트레칭,양발 점프 착지하기
발 닿기,발등 동시에 늘리기,양손 모아 균형 잡기
발 뒤꿈치 들어올리기,발등굽힘/발바닥굽힘,양팔 벌려 높이 뛰기
발 바꿔 뛰기,발로 공주고 받기,양팔 벌려 전신 비틀기
발가락 폄근 스트레칭,발목 돌리기,어깨 누르기
발등 동시에 늘리기,발목 얹고 다리 잡아당기기,어깨 뒤쪽 스트레칭
발등굽힘/발바닥굽힘,발바닥 마주대고 끌어당기기,어깨 스트레칭
발로 공주고 받기,발바닥 치기,어깨 양 옆으로 돌리기
발목 돌리기,발에 밴드걸고 윗몸일으키기,어깨 올리기
발목 얹고 다리 잡아당기기,배 스트레칭,엉덩관절 회전하기
발바닥 마주대고 끌어당기기,배스트레칭,엉덩이 늘리기
발바닥 치기,백 슬라이드,엉덩이 스트레칭
발에 밴드걸고 윗몸일으키기,밴드 걸고 누워서 다리 들어올리기,엉덩이 스트레칭2
배 스트레칭,밴드 걸고 앉아서 발등 굽힘,엎드려 교차 발 잡아당기기
배스트레칭,밴드 걸고 엎드려서 다리 구부리기,엎드려 버티기
백 슬라이드,밴드 걸고 옆으로 누워 다리 올리기,엎드려 상체 들어올리기
밴드 걸고 누워서 다리 들어올리기,밴드 다리 올려 버티기,엎드려 양팔 및 다리 들어올리기
밴드 걸고 앉아서 발등 굽힘,밴드 머리 뒤로 들어올리기,엎드려 어깨 늘리기
밴드 걸고 엎드려서 다리 구부리기,밴드 앞 옆으로 들어올리기,엎드려 팔 대고 버티기
밴드 걸고 옆으로 누워 다리 올리기,밴드 앞으로 당기기,엎드려 한발 원 그리기
밴드 다리 올려 버티기,밴드 어깨 뒤로 들어올리기,엎드려서 다리 차올리기
밴드 머리 뒤로 들어올리기,밴드 잡고 누워서 다리 밀기,연속 사이드 스쿼드
밴드 앞 옆으로 들어올리기,밴드 잡고 다리 옆으로 벌리기,옆구리 스트레칭
밴드 앞으로 당기기,밴드 잡고 몸통 옆으로 굽히기,옆구리늘리기
밴드 어깨 뒤로 들어올리기,밴드 잡고 무릎펴기,옆으로 걷기
밴드 잡고 누워서 다리 밀기,밴드 한 발 뒤로 들기,옆으로 누워 가슴 열기
밴드 잡고 몸통 옆으로 굽히기,버피 테스트,옆으로 누워 버티기
밴드 잡고 무릎펴기,버피운동,옆으로 누워 폼롤러 굴려주기
밴드 한 발 뒤로 들기,벌림 밸런스 운동-60~120도 사이,옆으로 팔 대고 버티기
밴드로 다리 들어 올려 버티기,베개 밟고 교차 서기,온 몸 뻗어주기
밴드잡고 머리 위에서 팔꿈치 펴기,베개 밟고 대각방향으로 서기,왕복달리기
버피 테스트,베개 밟고 두발 모아 서기,왜가리 자세
버피운동,베개 밟고 서기,요가 및 필라테스  루틴프로그램
벌림 밸런스 운동-60~120도 사이,베개 밟고 서기 평형성 운동 루틴 프로그램,요통을 위한 스트레칭1
베개 밟고 교차 서기,베개 밟고 위로 양팔 들기,요통을 위한 스트레칭2
베개 밟고 대각방향으로 서기,베개 밟고 측면으로 양팔 들기,우울증을 위한 스트레칭
베개 밟고 두발 모아 서기,벽에서 팔굽혀 펴기,윗몸 말아 올리기
베개 밟고 서기,벽잡고 빨리 뛰기,윗몸 일으키기
베개 밟고 서기 평형성 운동 루틴 프로그램,벽패스,윗몸올리기
베개 밟고 측면으로 양팔 들기,복부 스트레칭,유산소 운동 전 동적 루틴 스트레칭
벽에서 팔굽혀 펴기,복식호흡,의자 이용 중심 잡기 루틴 운동
벽잡고 빨리 뛰기,볼 위에 앉아 밴드 양옆으로 당기기,의자 이용 평형성운동 루틴 프로그램
벽패스,볼 잡고 몸통 기울이기,의자 잡고 측면으로 한발 들기
복부 스트레칭,볼 잡고 점프하기,의자 잡고 팔 뒤로 굽히기
복식호흡,볼 튕기면서 스쿼트,의자 잡고 한발 들기
볼 위에 앉아 밴드 양옆으로 당기기,비복근 스트레칭,의자에 앉아 가슴 뒤로 젖히기
볼 잡고 몸통 기울이기,비스듬히 누워서 밀기,의자에 앉아 가슴 몸통 말아주기
볼 잡고 점프하기,빠르게 걷기,의자에 앉아 등 굽혔다 펴기
볼 튕기면서 스쿼트,빠르게 무릎 올려 찍기,의자에 앉아 몸통비틀기
비복근 스트레칭,빠르게 무릎들어 뛰기,의자에 앉아 볼 돌리기
비스듬히 누워서 밀기,빠르게 앞무릎 올리기,의자에 앉아 옆구리 숙이기
빠르게 걷기,빠른 발 뛰기,의자이용 유연성운동 루틴 프로그램
빠르게 무릎 올려 찍기,빠른 발 안팎 뛰기,의자잡고 서기 평형성운동 루틴 프로그램
빠르게 무릎들어 뛰기,사다리 걷기,자가근막이완술 루틴 스트레칭
빠르게 앞무릎 올리기,사다리 안팎 뛰기,자기 체중 이용 평형성 운동 루틴 프로그램
빠른 발 뛰기,사다리 옆으로 발 옮기기,자전거타기
빠른 발 안팎 뛰기,사다리 운동  루틴프로그램,작은 공을 이용한 동적 루틴 스트레칭
사다리 걷기,사다리 이용 루틴 운동,전갈자세
사다리 안팎 뛰기,사다리 좌우 뛰기,전사자세
사다리 옆으로 발 옮기기,사이드 스텝,전신 루틴 스트레칭
사다리 운동  루틴프로그램,사이드 스텝 점프하기,전신 비틀며 전진하기
사다리 이용 루틴 운동,사이드 지그재그 뛰기,전신 틀어 손벽 마주치기
사다리 좌우 뛰기,사이드 한발 뛰기,전완대고 버티기
사디리 이용 협응성운동 루틴 프로그램,상지 루틴 스트레칭,전진 점프하며 발 뒤꿈치 찍기
사이드 스텝,상체 감아올리기,전진 점프하며 발바닥 찍기
사이드 스텝 점프하기,상체 앞으로 숙이기,점프해서 발바닥 치기
사이드 지그재그 뛰기,서서 균형잡기,정적 스트레칭  루틴프로그램
사이드 한발 뛰기,서서 균형잡으며 몸통 회전하기,제자리 뛰기
상지 루틴 스트레칭,서서 다리 뒤로 차기,조깅
상체 감아올리기,서서 다리 모으고 벌리기,종아리 사이 감아 돌리기
상체 앞으로 숙이기,서서 다리로 탄력밴드 당겨 중심 잡기 루틴 운동,종아리 스트레칭
서서 균형잡기,서서 다리로 탄력밴드 당기기 I,좌식생활자를 위한 동적 루틴 스트레칭
서서 균형잡으며 몸통 회전하기,서서 다리로 탄력밴드 당기기 II,좌우 이동하며 팔굽혀펴기
서서 다리 뒤로 차기,서서 뒤꿈치 들기,좌우로 선넘기
서서 다리 모으고 벌리기,서서 바벨 위로 밀기,줄 따라 걷기
서서 다리로 탄력밴드 당겨 중심 잡기 루틴 운동,서서 발목 누르기,줄넘기
서서 다리로 탄력밴드 당기기 I,서서 발목 뒤로 당기기,줄넘기 운동
서서 다리로 탄력밴드 당기기 II,서서 상체 일으키기,짐볼 앉기 평형성 운동 루틴 프로그램
서서 뒤꿈치 들기,서서 어깨  들어올리기,짐볼 앉아 양손 대각방향으로 들기
서서 바벨 위로 밀기,서서 탄력밴드 당겨내리기/올리기,짐볼 앉아 중심 잡기 루틴 운동
서서 발목 누르기,서서 팔꿈치 펴기,짐볼 앉아 한발 내딛기
서서 발목 뒤로 당기기,서서 한팔 들어 오른쪽 왼쪽 뻗기,짐볼 앞으로 밀기
서서 상체 일으키기,성화봉송,짐볼 양옆으로 굴리기
서서 어깨  들어올리기,소머리 자세,짐볼 양팔로 밀기
서서 탄력밴드 당겨내리기/올리기,소파를 이용한 윗몸올리기,짐볼 옆에 두고 어깨 누르기
서서 팔꿈치 펴기,손 뻗어 윗몸 일으키기,짐볼 운동  루틴프로그램
서서 한팔 들어 오른쪽 왼쪽 뻗기,손목 펴기/굽히기,짐볼 이용 평형성 루틴 프로그램
성화봉송,수건 이용하여 장딴지 늘리기,짐볼 전완대고 버티기
소머리 자세,수건잡고 팔 들어올리기,짐볼에 다리 올리고 좌우로 움직이기
소파를 이용한 윗몸올리기,수영,짐볼을 이용한 동적 루틴 스트레칭
손 뻗어 윗몸 일으키기,순간반응 콘 찍기,짝 스트레칭  루틴프로그램
손목 펴기/굽히기,순간반응 콘 찍기 2,척추 들어올리기
수건 이용하여 장딴지 늘리기,슈퍼맨자세,척추 스트레칭
수건잡고 팔 들어올리기,스카프 라인,측면 팔대고 버티기
수동적 관절가동범위 운동,스카프 저글링,치매를 위한 스트레칭(의자)
수영,스타 투 니 풀,콘운동  루틴프로그램
순간반응 콘 찍기,스텝박스,탄력밴드 걸고 서기 평형성 운동 루틴 프로그램
순간반응 콘 찍기 2,스텝박스 오르내리기,탄력밴드 이용 평형성운동 루틴 프로그램
슈퍼맨자세,스텝퍼 뛰어서 넘어가기,턱걸이
스카프 라인,스텝퍼 뛰어서 오르내리기,트레드밀에서 걷기
스타 투 니 풀,스텝퍼 옆으로 뛰어넘기,팔 교대로 올리기
스텝박스,스텝퍼 오르내리기,팔 당기기
스텝박스 오르내리기,스텝퍼 올라가서 점프하여 착지하기,팔 들어 올리며 런지
스텝퍼 뛰어서 넘어가기,시소우,팔 벌려 뛰기
스텝퍼 뛰어서 오르내리기,실내 자전거타기,팔 빨리 흔들기
스텝퍼 옆으로 뛰어넘기,실외 자전거타기,팔굽혀 펴기
스텝퍼 오르내리기,십(十)자 달리기,팔굽혀펴기
스텝퍼 올라가서 점프하여 착지하기,십(十)자 드리블,팔꿈치 고정 후 벌리기
시소우,써클휠로 다리 끌어당기기,팔꿈치 맞닿아 원그리기
실내 자전거타기,아기자세,팔꿈치 머리 뒤로 젖히기
실외 자전거타기,아래 팔 스트레칭,팔꿈치 원 그리기
십(十)자 달리기,아령 뒤로 들어올리기,팔벌려뛰기
십(十)자 드리블,아령 앞으로 들어올리기,폼롤러 밀며 몸 앞으로 숙이기
써클휠로 다리 끌어당기기,아쿠아로빅,폼롤러 앞으로 굴리기
아기자세,아쿠아로빅 운동 프로그램 루틴,폼롤러 이용 유연성운동 루틴 프로그램
아래 팔 스트레칭,아쿠아로빅-몸 기울이기/회전하기,플렉스 바 비틀기
아령 뒤로 들어올리기,아쿠아로빅-물누르기/올리기,하지 루틴 스트레칭1
아령 앞으로 들어올리기,아쿠아로빅-물당기기/밀기,하지 루틴 스트레칭2
아쿠아로빅,아쿠아로빅-발 닿기,한 발 뒤로 들어올리기
아쿠아로빅 심폐지구력운동 루틴 프로그램,아쿠아로빅-엉덩관절 회전하기,한 발 뒤로 빼고 앞으로 굽히기
아쿠아로빅 운동 프로그램 루틴,아쿠아로빅-옆구리 늘리기,한 발 들어올리기
아쿠아로빅-몸 기울이기/회전하기,앉아 윗몸 앞으로 굽히기,한 발 앞굽이 팔 위로 뻗어 가슴 내밀기
아쿠아로빅-물누르기/올리기,앉아서 가슴 모으기,한 칸 건너뛰며 걷기
